row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
6501,Richfield Financial Services Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:44:41.020624
6502,Richfield Tracon Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:44:59.518006
6503,Richhold Trading (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:45:07.264298
6504,Richie Credit & Finance Private Limited(Formerly Chandpur Motor Finance Private Limited),,,,N/A,https://richie.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T09:45:14.850016
6505,Richiline Sales  Services  Pvt.  Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:45:34.227135
6506,Richline Finance Limited,,,,N/A,https://richline.in/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Corporate email @richline.in | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'emi' | LinkedIn company page linked",https://richline.in/,,2026-02-15T09:45:40.973308
6507,Richman Fincap Limited,,,,N/A,https://www.richmanfincap.in/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T09:45:45.076697
6508,Richmax Finvest Pvt Ltd. (Formerly Sark Fincap Pvt. Ltd.),,,,N/A,https://www.richmaxfinvest.com/,direct_domain,FALSE_MATCH,35,"Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'non banking financial' | Company name in title (55%)",,Insufficient evidence (score 35/100),2026-02-15T09:45:58.815315
6509,Ricky Credit Co (P) Ltd,,,,N/A,https://www.ricky.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,70,"Company name on page (100% match) | Corporate email @ricky.com | Ownership signals: ['contact us', 'privacy policy', 'terms of service'] | Industry keyword: 'emi'",https://www.ricky.com/,,2026-02-15T09:46:01.502747
6510,Ricon Commodities (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:46:03.862958
6511,"Ricon Merchants  Pvt.  Ltd,",,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:46:10.080970
6512,Riddhi Portfolio Private Limited,,,,N/A,https://riddhiportfolio.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T09:46:17.116218
6513,Riddhi Securities Limited,,,,N/A,https://riddhifinserv.com/,serper,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'login'] | Industry keyword: 'nbfc' | Company name in title (65%)",,,2026-02-15T09:46:21.008734
6514,Riddhi Siddhi Ice Industries (P) Ltd,,,,N/A,https://www.riddhisiddhi.co.in/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (75% match) | Corporate email @riddhisiddhi.co.in | Ownership signals: ['about us', 'contact us', 'board of directors'] | Industry keyword: 'invest' | Company name in title (58%)",https://www.riddhisiddhi.co.in/,,2026-02-15T09:46:40.695864
6515,Ridhi Fincap Private Limited,,,,N/A,https://www.ridhishare.com/wp-content/uploads/2022/04/MGT-7-2019-20.pdf,serper,REVIEW_REQUIRED,67,"Company name on page (100% match) | Registered office address found | Partial ownership signals: ['registered office', 'login'] | Industry keyword: 'rbi'",,,2026-02-15T09:46:47.235551
6516,Ridhi Sidhi Distributor Pvt Ltd,,,,N/A,https://www.ridhisidhi.com/,direct_domain,REVIEW_REQUIRED,40,Company name on page (67% match) | Company name in title (57%),,,2026-02-15T09:46:55.087131
6517,Ridhi Sidhi Financial Services Private Limited,,,,N/A,https://www.ridhisidhi.com/,direct_domain,REVIEW_REQUIRED,40,Company name on page (100% match) | Company name in title (60%),,,2026-02-15T09:46:57.555441
6518,Ridhi Sidhi Sales Agencies (P) Ltd,,,,N/A,https://www.ridhisidhi.com/,direct_domain,FALSE_MATCH,10,Company name in title (59%),,Insufficient evidence (score 10/100),2026-02-15T09:46:59.297936
6519,Ridhi Vinimay(P) Ltd,,,,N/A,https://www.vridhihomefinance.com/about-us/,serper,FALSE_MATCH,0,,,HTTP 503,2026-02-15T09:47:01.167036
6520,Ridhima Enterprises Pvt. Ltd.,,,,N/A,https://ridhimaenterprise.in/,serper,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (85% match) | Registered office address found | Corporate email @ridhimaenterprise.in | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'finance' | Company name in title (85%)",https://ridhimaenterprise.in/,,2026-02-15T09:47:09.026680
6521,Ridhima Holdings (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:47:30.564401
6522,Right Aid Associates (P) Ltd,,,,N/A,https://www.rightaid.com/,direct_domain,FALSE_MATCH,30,Company name on page (67% match),,Insufficient evidence (score 30/100),2026-02-15T09:47:37.955763
6523,Right Aid Consultants (P) Ltd,,,,N/A,https://www.rightaid.com/,direct_domain,REVIEW_REQUIRED,40,Company name on page (67% match) | Company name in title (55%),,,2026-02-15T09:47:41.002078
6524,Right Choice Financial Services P Ltd,,,,N/A,https://www.rightchoice.com/,direct_domain,FALSE_MATCH,0,,,HTTP 432,2026-02-15T09:47:42.179848
6525,Right Treasure Finance & Lrasing (India) Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:47:46.198249
6526,Rightex Trading Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:47:53.666499
6527,Rigmadi Rappa  Investment Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:48:00.441090
6528,Rikalp Capital Private Limited (Formerly Sethi Securities Private Limited),,,,N/A,https://rikalp.com/,direct_domain,FALSE_MATCH,17,Partial ownership signals: ['contact us'] | Industry keyword: 'emi',,Insufficient evidence (score 17/100),2026-02-15T09:48:09.053194
6529,Rikzen Contra (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:48:10.221843
6530,Rima Impex Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:48:17.840714
6531,Rimura Finlease & Technology Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:48:25.864017
6532,Rinkpi Finance & Consultants (P) Ltd,,,,N/A,https://rinkpifinance.com/,serper,FALSE_MATCH,10,Industry keyword: 'finance',,Insufficient evidence (score 10/100),2026-02-15T09:48:36.756340
6533,Rise Capital Operative Finance Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:48:41.290289
6534,Rishab Trade & Finance Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:48:48.298604
6535,Rishabh Holding Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:48:55.543098
6536,Rishabh Stocks (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:49:02.151956
6537,Rishav Hire Purchase & Financier Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:49:09.178231
6538,Rishdev Investments Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:49:15.856624
6539,"Rishi Growth Fund Private Limited,",,,,N/A,http://rishi-growth-fund.com/,serper,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T09:49:24.522367
6540,Rishi Securities & Finance Pvt Ltd,,,,N/A,https://therishi.co.in/,serper,FALSE_MATCH,25,"Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'nbfc'",,Insufficient evidence (score 25/100),2026-02-15T09:49:33.716895
6541,Rishiganga Finance Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:49:42.498320
6542,Rishikesh Commercial Co (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:50:12.557761
6543,Rishikesh Hire Purchase And Leasing Company Private Limited,,,,N/A,https://company.vakilsearch.com/rishike-hire-purchase-leasing-company-private-limited/U65921WB1995PTC137280,serper,OFFICIAL_WEBSITE_FOUND,95,"Company name on page (100% match) | Registered office address found | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'loan' | LinkedIn company page linked | Company name in title (65%)",https://company.vakilsearch.com/rishike-hire-purchase-leasing-company-private-limited/U65921WB1995PTC137280,,2026-02-15T09:50:19.372151
6544,Rishikesh Mercantile Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:50:24.424111
