row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
7001,Sarvopari Investments Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:53:29.420870
7002,Sarvotam Leasing & Real Estaes Ltd,,,,N/A,https://sarvottamrealestates.com/,serper,FALSE_MATCH,0,,,HTTP 503,2026-02-15T07:53:36.769068
7003,Sarvottam Caps Private Ltd,,,,N/A,http://www.sarvottamfinvest.in/,serper,REVIEW_REQUIRED,50,Company name on page (62% match) | Industry keyword: 'invest' | Company name in title (62%),,,2026-02-15T07:53:49.023503
7004,Sarvottam Fincap Ltd.,,,,N/A,http://www.sarvottamfinvest.in/,serper,FALSE_MATCH,0,,,HTTP 408,2026-02-15T07:54:03.266611
7005,Sarvottam Finvest Limited (Formerly Barclays & Chartered Financial Services Ltd,,,,N/A,http://www.sarvottamfinvest.in/,serper,FALSE_MATCH,10,Industry keyword: 'invest',,Insufficient evidence (score 10/100),2026-02-15T07:54:30.235242
7006,Sarvottam Securities Pvt. Ltd.,,,,N/A,https://www.sarvottamsecurities.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Regulatory text: 'reserve bank of india' | Ownership signals: ['about us', 'contact us', 'apply now'] | Industry keyword: 'nbfc'",https://www.sarvottamsecurities.com/,,2026-02-15T07:55:00.912688
7007,Sarvottam Tradelink  Pvt.  Ltd.,,,,N/A,http://www.sarvottamfinvest.in/,serper,REVIEW_REQUIRED,50,Company name on page (70% match) | Industry keyword: 'invest' | Company name in title (70%),,,2026-02-15T07:55:01.847251
7008,Sarvp Financial Services Private Limited,,,,N/A,https://sarvpfinance.in/career/,serper,FALSE_MATCH,0,,,DNS resolution failed,2026-02-15T07:55:15.761207
7009,Sarwadi Finance Private Limited,,,,N/A,https://sarwadi.in/,direct_domain,FALSE_MATCH,0,,,HTTP 503,2026-02-15T07:55:29.921759
7010,Sashi Enterprises  Ltd.,,,,N/A,https://sashienterprises.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,72,Company name on page (100% match) | Corporate email @sashienterprises.com | Partial ownership signals: ['login'] | Industry keyword: 'investment' | Company name in title (60%),https://sashienterprises.com/,,2026-02-15T07:56:10.667617
7011,Saswit Finance (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:56:17.448812
7012,Satabdi Consultancy & Services (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:56:24.846777
7013,Satabdi Finlease (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:56:32.543731
7014,Satbehwaric Finance And Investment Pvt.Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:56:40.152916
