row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
1,121 Finance Private Limited (Old Name Yerrow Finance and Investments Private Limited),,,,N/A,https://121finance.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (80% match) | Regulatory text: 'rbi registered' | Corporate email @121finance.com | Ownership signals: ['privacy policy', 'careers', 'login'] | Industry keyword: 'nbfc' | LinkedIn company page linked",https://121finance.com/,,2026-02-14T22:28:24.361588
2,20Th Century Holdings P Ltd.,,,,N/A,https://www.20thcentury.com/,direct_domain,FALSE_MATCH,30,Company name on page (67% match),,Insufficient evidence (score 30/100),2026-02-14T22:28:28.649872
3,360 ONE Prime Limited (Formerly : IIFL Wealth Prime Limited and IIFL Wealth Finance Ltd),,,,N/A,https://www.360one.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-14T22:28:53.642354
4,4Fin Finance Private Limited,,,,N/A,https://4fin.in/,serper,REVIEW_REQUIRED,55,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'nbfc'",,,2026-02-14T22:28:56.453736
5,5Paisa P2P Limited,,,,N/A,https://www.5paisa.com/investor-relations,serper,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Registered office address found | Corporate email @5paisa.com | Ownership signals: ['about us', 'contact us', 'board of directors'] | Industry keyword: 'nbfc' | LinkedIn company page linked",https://www.5paisa.com/investor-relations,,2026-02-14T22:29:04.644869
6,7VIK Finvestment Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-14T22:30:04.587691
7,A & A Capital Services Private Ltd.,,,,N/A,https://www.private.in/,direct_domain,FALSE_MATCH,0,,,No company token in domain: tokens ['capital'] not found in 'private',2026-02-14T22:30:13.520342
8,A & P Exim Pvt. Ltd,,,,N/A,https://www.eximbankindia.in/sites/default/files/2025-10/Investor%20Presentation%20Oct%202025.pdf,serper,FALSE_MATCH,0,,,PDF file URL,2026-02-14T22:30:27.673209
9,A A C Investments Pvt Ltd,,,,N/A,https://aacinvestments.com/,serper,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'investment' | Company name in title (81%)",,,2026-02-14T22:30:41.155516
10,A B  Constructions Pvt Ltd,,,,N/A,https://abcl.com.bd/,serper,OFFICIAL_WEBSITE_FOUND,72,"Company name on page (100% match) | Corporate email @abcl.com.bd | Partial ownership signals: ['about us', 'privacy policy'] | Industry keyword: 'emi' | LinkedIn company page linked",https://abcl.com.bd/,,2026-02-14T22:31:25.521284
11,A B Fiscal Services Pvt Ltd,,,,N/A,https://www.adityabirla.com/en/businesses/sectors/financial-services/,serper,OFFICIAL_WEBSITE_FOUND,80,"Registered office address found | Regulatory text: 'registered with rbi' | Ownership signals: ['about us', 'board of directors', 'privacy policy'] | Industry keyword: 'nbfc' | LinkedIn company page linked",https://www.adityabirlacapital.com/loans/about-us/company-profile,,2026-02-14T22:31:32.817782
12,A B S Portfolio (P) Ltd,,,,N/A,https://www.abs.gov.au/about/our-organisation/corporate-reporting/abs-corporate-plan/2024-25/activities,serper,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['contact us', 'careers', 'login'] | Industry keyword: 'finance' | LinkedIn company page linked",,,2026-02-14T22:32:42.581377
13,A B S Vipanan Pvt Ltd,,,,N/A,https://www.vipanan.in/,direct_domain,FALSE_MATCH,20,Registered office address found,,Insufficient evidence (score 20/100),2026-02-14T22:33:09.589166
