row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
7501,Simandhar Finlease Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:54:37.242162
7502,Simar Hire Purchase Limited (Ltd. Included W.E.F.18.1.12),,,,N/A,https://simarglobal.net/wp-content/uploads/2024/04/AUDITED-FINANCIAL-STATEMENT-2023.pdf,serper,FALSE_MATCH,0,,,PDF file URL,2026-02-15T07:54:45.417398
7503,Simple Viniyog (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:54:53.141023
7504,Simplepay Finance Private Limited,,,,N/A,https://simplepay.hu,direct_domain,REVIEW_REQUIRED,57,Company name on page (100% match) | Partial ownership signals: ['login'] | Industry keyword: 'emi' | LinkedIn company page linked,,,2026-02-15T07:55:00.963117
7505,Simplex Metallurgical Private Limited,,,,N/A,https://www.simplexengg.in/home/metallurgy,serper,FALSE_MATCH,35,"Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'rbi' | LinkedIn company page linked",,Insufficient evidence (score 35/100),2026-02-15T07:55:24.800938
7506,Simpro Vanijya (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:55:43.835503
7507,Simpson & General Finance Company Limited,,,,N/A,http://simpsons.in/pdf/Notice%20to%20the%20Annual%20General%20Meeting%20and%20Annual%20report-31.03.2022.pdf,serper,FALSE_MATCH,0,,,PDF file URL,2026-02-15T07:55:54.293015
7508,Simto Investment Company Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:56:20.072178
7509,Sincere Auto Stores  Pvt. Ltd.,,,,N/A,https://www.sincereauto.com/,direct_domain,FALSE_MATCH,0,,,HTTP 408,2026-02-15T07:56:30.344483
7510,Sincere Securities Private Limited,,,,N/A,https://www.sinceresecuritiescorp.com/,serper,REVIEW_REQUIRED,55,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'investment'",,,2026-02-15T07:57:16.295384
7511,"Sincerely Finance & Investment Pvt Ltd.,",,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:57:33.120373
7512,Sindhuja Microcredit Private Limited,,,,N/A,https://sindhujamicrocredit.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Registered office address found | Regulatory text: 'reserve bank of india' | Corporate email @sindhujamicrocredit.com | Ownership signals: ['about us', 'management team', 'board of directors'] | Industry keyword: 'nbfc' | Company name in title (78%)",https://sindhujamicrocredit.com/,,2026-02-15T07:57:42.499396
7513,Sindhwani Metal Engineering Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:58:42.237884
7514,Singari Motor Finance (India) Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:58:51.700084
7515,Singdha Trexim Pvt Ltd (Name as per MCA - Century Ispat Limited),,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:59:02.075406
7516,Singer Capital Pvt. Ltd.,,,,N/A,https://www.singer.com/,direct_domain,FALSE_MATCH,32,"Corporate email @singer.com | Partial ownership signals: ['our team', 'login'] | Industry keyword: 'rbi'",,Insufficient evidence (score 32/100),2026-02-15T07:59:10.355580
7517,Singh Finlease Pvt. Ltd.,,,,N/A,https://www.singhfinlease.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Corporate email @singhfinlease.com | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'loan' | LinkedIn company page linked",https://www.singhfinlease.com/,,2026-02-15T07:59:14.329176
7518,Singh Finvest Pvt Ltd,,,,N/A,https://www.singhifin.in/,serper,FALSE_MATCH,0,,,DNS resolution failed,2026-02-15T07:59:21.316538
7519,Singh Wahini Moulders & Holdings (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:59:41.256115
7520,Singhal Fincap Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:59:50.630779
7521,Singhal Securities Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:59:59.663292
7522,Singhal Vyapar (P) Ltd,,,,N/A,https://singhalcapital.in/,serper,FALSE_MATCH,0,,,HTTP 503,2026-02-15T08:00:08.881002
7523,Singhania Brothers Ltd,,,,N/A,https://www.thesinghaniabrothers.co.in/,serper,REVIEW_REQUIRED,57,Company name on page (100% match) | Partial ownership signals: ['login'] | Industry keyword: 'credit' | Company name in title (63%),,,2026-02-15T08:00:20.292583
7524,Singhania Fincom Pvt. Ltd.,,,,N/A,https://singhaniafincom.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T08:00:52.572793
7525,Singhi Capital Finance Private Limited,,,,N/A,https://singhi.com/,direct_domain,REVIEW_REQUIRED,57,Company name on page (100% match) | Partial ownership signals: ['careers'] | Industry keyword: 'investment' | LinkedIn company page linked,,,2026-02-15T08:01:28.394814
7526,Singhi Finance Private Limited,,,,N/A,https://singhi.com/,direct_domain,REVIEW_REQUIRED,57,Company name on page (100% match) | Partial ownership signals: ['careers'] | Industry keyword: 'investment' | LinkedIn company page linked,,,2026-02-15T08:01:40.494310
7527,Singhman Finex Private Limited.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T08:01:44.607262
7528,Singhvi Finlease (India) Limited,,,,N/A,https://singhvifintech.in/,serper,OFFICIAL_WEBSITE_FOUND,90,"Company name on page (65% match) | Regulatory text: 'reserve bank of india' | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'nbfc' | Company name in title (65%)",https://singhvifintech.in/,,2026-02-15T08:01:53.828172
7529,Singhvi Fintech Private Limited,,,,N/A,https://singhvifintech.com/,direct_domain,REVIEW_REQUIRED,57,Company name on page (100% match) | Partial ownership signals: ['contact us'] | Industry keyword: 'emi' | Company name in title (85%),,,2026-02-15T08:02:11.348969
7530,Singodwala Fintech Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T08:02:17.667862
7531,Singrodia Bros Holdings  Pvt. Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T08:02:26.861239
7532,Singularity Creditworld Private Limited,,,,N/A,https://singularitycredit.com/,direct_domain,REVIEW_REQUIRED,50,Company name on page (100% match) | Industry keyword: 'nbfc' | Company name in title (100%),,,2026-02-15T08:02:35.273342
7533,Singularity Holdings Limited (Formerly Known As Geecee Investments Ltd),,,,N/A,https://www.singularityholdings.in/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T08:02:47.407760
7534,Sinki Commodities Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T08:03:16.926273
7535,Sino Credits And Leasing Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T08:03:24.379927
7536,Sintara Fincap Private Limited,,,,N/A,https://www.sintarafincap.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Regulatory text: 'nbfc registered' | Corporate email @sintarafincap.com | Ownership signals: ['about us', 'contact us', 'apply now'] | Industry keyword: 'nbfc' | LinkedIn company page linked",https://www.sintarafincap.com/,,2026-02-15T08:03:48.461696
7537,Sinwar Finance &Leasing Pvt.Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T08:03:50.416982
7538,Sion Finance & Leasing Private Limited,,,,N/A,https://www.sion.in/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T08:04:02.797524
7539,Sipani Hire Purchase And Finance Company Private Limited,,,,N/A,https://www.cavksipani.com/,serper,OFFICIAL_WEBSITE_FOUND,95,"Company name on page (80% match) | Regulatory text: 'reserve bank of india' | Corporate email @cavksipani.com | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'nbfc'",https://www.cavksipani.com/,,2026-02-15T08:04:16.824849
7540,Sipra Synthetics & Impex Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T08:04:38.864664
7541,Siri Infinlease Pvt. Ltd.,,,,N/A,https://yakshinfinlease.com/,serper,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (69% match) | Corporate email @yakshinfinlease.com | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'nbfc' | Company name in title (69%)",https://yakshinfinlease.com/,,2026-02-15T08:04:45.628656
