row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
9001,Wheelsemi Private Limited (Formerly Varadnarayan Savings & Investment Co.Pvt.Ltd.),,,,N/A,https://wheelsemi.in/,direct_domain,FALSE_MATCH,25,"Ownership signals: ['contact us', 'privacy policy', 'terms of service'] | Industry keyword: 'emi'",,Insufficient evidence (score 25/100),2026-02-15T11:07:28.828024
9002,Wheelseye Finance Private Limited,,,,N/A,https://wheelseye.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Corporate email @wheelseye.com | Ownership signals: ['contact us', 'our team', 'privacy policy'] | Industry keyword: 'emi' | LinkedIn company page linked",https://wheelseye.com/,,2026-02-15T11:07:31.784256
9003,Whispering Properties Pvt. Ltd,,,,N/A,https://www.whisperingheights.co.in/,serper,REVIEW_REQUIRED,57,"Company name on page (67% match) | Partial ownership signals: ['about us', 'grievance'] | Industry keyword: 'credit' | Company name in title (58%)",,,2026-02-15T11:07:33.171347
9004,White Paper Capital Limited,,,,N/A,https://whitepaper.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Registered office address found | Corporate email @whitepaper.com | Ownership signals: ['contact us', 'head office', 'login'] | Industry keyword: 'emi' | LinkedIn company page linked",https://whitepaper.com/,,2026-02-15T11:07:43.431518
9005,White-Elehphant Finance Limited (Formerly known as Akshar Finance Limited),,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T11:08:08.632985
9006,Whiteline Barter Limited,,,,N/A,https://whitelinebarter.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T11:08:16.918941
9007,Whitestone Consultants (P) Ltd,,,,N/A,https://white-stone.co.in/,serper,REVIEW_REQUIRED,55,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'loan'",,,2026-02-15T11:08:21.976681
9008,Whitestone Sales Pvt Ltd,,,,N/A,http://www.whitestoneindia.com/,serper,REVIEW_REQUIRED,67,"Company name on page (100% match) | Partial ownership signals: ['our team', 'login'] | Industry keyword: 'emi' | LinkedIn company page linked | Company name in title (73%)",,,2026-02-15T11:08:48.400570
9009,Whitestone Suppliers (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T11:08:59.114430
9010,White-Up Commodities Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T11:09:07.478658
9011,Whizdm Finance Private Limited,,,,N/A,https://www.whizdm.in/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T11:09:16.781094
