row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
501,Anjana Syntex Co Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-14T22:28:52.900372
502,Anjani Finance Limited,,,,N/A,https://www.anjani.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,90,"Company name on page (100% match) | Corporate email @anjani.com | Ownership signals: ['about us', 'contact us', 'careers'] | Industry keyword: 'rbi' | LinkedIn company page linked | Company name in title (50%)",https://www.anjani.com/,,2026-02-14T22:29:00.390039
503,Anjay Dealcomm  (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-14T22:29:03.466765
504,Anjula Steels Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-14T22:29:11.065107
505,Ankit Commerce Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-14T22:29:18.377971
506,Ankit Commotrade  Pvt.  Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-14T22:29:26.151268
507,Ankit Credits (P) Ltd,,,,N/A,https://ankit-credits-pvt-ltd.charteredone.com/U67120WB1988PTC044447,serper,OFFICIAL_WEBSITE_FOUND,77,"Company name on page (100% match) | Registered office address found | Partial ownership signals: ['registered office', 'login'] | Industry keyword: 'rbi' | Company name in title (68%)",https://ankit-credits-pvt-ltd.charteredone.com/U67120WB1988PTC044447,,2026-02-14T22:29:33.774334
508,Ankit Financial Services Private Limited,,,,N/A,https://www.ankit.com/,direct_domain,REVIEW_REQUIRED,55,Company name on page (100% match) | Corporate email @ankit.com | Company name in title (53%),,,2026-02-14T22:29:40.109159
509,Ankit Fiscal Services Ltd,,,,N/A,https://www.ankitagro.com/pdf/Annual%20Report%20of%20AIL%202023-24.pdf,serper,FALSE_MATCH,0,,,PDF file URL,2026-02-14T22:29:44.144964
510,Ankit Leasing & Finance Co. Ltd.,,,,N/A,https://www.ankit.com/,direct_domain,REVIEW_REQUIRED,45,Company name on page (100% match) | Corporate email @ankit.com,,,2026-02-14T22:29:49.750729
