row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
4501,Malhan Investments Pvt Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:41:40.949490
4502,Malibu Kapital Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:41:48.763913
4503,Malik Fincap Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:41:56.477584
4504,Malika Suppliers Pvt Ltd,,,,N/A,https://malikaengineering.com.np/,serper,OFFICIAL_WEBSITE_FOUND,90,"Company name on page (100% match) | Registered office address found | Corporate email @malikaengineering.com.np | Ownership signals: ['about us', 'contact us', 'head office'] | Industry keyword: 'investment'",https://malikaengineering.com.np/,,2026-02-15T07:42:05.615981
4505,Malindo Finance Pvt. Ltd.(Old Name Ma Kamakhya Enclave & Holding  (P) Ltd),,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:42:27.813352
4506,Mall Commercial (P) Ltd,,,,N/A,https://www.mvnmall.net/,serper,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T07:42:34.855146
4507,Mallcom Holdings Pvt Ltd,,,,N/A,https://mallcom.in/?srsltid=AfmBOoojeKybGlhCMgQX6qv8wJX939A1u5_FE2P1pjdEUNpJvMYWSnu3,serper,REVIEW_REQUIRED,40,"Corporate email @mallcom.in | Ownership signals: ['contact us', 'privacy policy', 'terms and conditions'] | Industry keyword: 'rbi'",,,2026-02-15T07:42:43.129272
4508,Mallya (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:42:50.617575
4509,Maloo Finvest Services (P) Ltd.,,,,N/A,https://www.maloofinvest.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T07:43:53.277858
4510,Maloo Holdings (P) Ltd,,,,N/A,https://maloogroup.net/,serper,REVIEW_REQUIRED,50,"Corporate email @malooindia.com | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'rbi' | LinkedIn company page linked",,,2026-02-15T07:43:54.599175
4511,Malsisaria Investments & Trading Co (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:44:36.077318
4512,Malvika Investment & Services (P) Ltd.,,,,N/A,https://www.malvika.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T07:44:42.799271
4513,Malwa Leasing And Credits Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:44:43.474272
4514,Mamani Investo (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:44:50.994534
4515,Man Mohak Fin-Invest-Lease Ltd.,,,,N/A,https://www.manmohak.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T07:44:58.180464
4516,Management Structure & Systems Pvt. Ltd.,,,,N/A,https://structuresystemsgroup.com/,direct_domain,REVIEW_REQUIRED,55,"Company name on page (73% match) | Ownership signals: ['contact us', 'our team', 'login'] | Company name in title (73%)",,,2026-02-15T07:45:07.464051
4517,Manak Estates And Finance Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:45:35.477782
4518,Manak Portfolios Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:45:42.361290
4519,Manali Credit & Securities Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T07:45:50.178668
