row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
3501,J. M. Assets Management Private Ltd.,,,,N/A,https://jmfl.com/Common/getFile/3429,serper,FALSE_MATCH,0,,,"No company token in domain: tokens ['management', 'assets'] not found in 'jmfl'",2026-02-15T02:15:16.859876
3502,J. P. Morgan Securities India Pvt. Ltd.,,,,N/A,https://morgansecurities.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T02:15:20.156203
3503,J.B. Capital Services Pvt. Ltd.,,,,N/A,https://jb-capital.com/,serper,FALSE_MATCH,35,"Ownership signals: ['about us', 'contact us', 'login'] | Industry keyword: 'lender' | LinkedIn company page linked",,Insufficient evidence (score 35/100),2026-02-15T02:15:54.971485
3504,J.H. Trading & Fincap Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:16:16.543103
3505,J.H.P.L. Holdings Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:16:24.352125
3506,J.J.Jindal Infin Pvt. Ltd.,,,,N/A,https://jindalsupreme.com/wp-content/uploads/2026/01/Addendum.pdf,serper,FALSE_MATCH,0,,,PDF file URL,2026-02-15T02:16:31.368201
3507,J.K.Traders Ltd.,,,,N/A,https://www.jktraders.in/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T02:16:36.818576
3508,J.L. Growth Fund Ltd.,,,,N/A,https://www.growth.com/,direct_domain,REVIEW_REQUIRED,57,"Company name on page (100% match) | Partial ownership signals: ['careers', 'login'] | Industry keyword: 'rbi' | Company name in title (54%)",,,2026-02-15T02:16:57.588903
3509,J.L.K. Securities Pvt. Ltd.,,,,N/A,https://www.jksecurities.com/,serper,OFFICIAL_WEBSITE_FOUND,85,"Company name on page (100% match) | Registered office address found | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'rbi' | LinkedIn company page linked",https://www.jksecurities.com/,,2026-02-15T02:16:59.859693
3510,J.M. Global Finance Ltd,,,,N/A,https://global.com/,direct_domain,REVIEW_REQUIRED,62,Company name on page (100% match) | Corporate email @global.com | Partial ownership signals: ['careers'] | Industry keyword: 'credit',,,2026-02-15T02:17:07.771883
3511,J.N. Fiscal Services Private Limited,,,,N/A,https://jnfinancialservices.in/,serper,FALSE_MATCH,0,,,No company token in domain: tokens ['fiscal'] not found in 'jnfinancialservices',2026-02-15T02:17:12.918755
3512,J.S. Fin-Vest Pvt.Ltd.,,,,N/A,https://www.finvest.in/,direct_domain,FALSE_MATCH,25,"Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'rbi'",,Insufficient evidence (score 25/100),2026-02-15T02:18:11.001529
3513,J.S. Global Finance Limited,,,,N/A,https://global.com/,direct_domain,REVIEW_REQUIRED,62,Company name on page (100% match) | Corporate email @global.com | Partial ownership signals: ['careers'] | Industry keyword: 'credit',,,2026-02-15T02:18:15.047966
3514,J.S. Loans And Advances Private Limited,,,,N/A,https://www.jslapl.com/,serper,FALSE_MATCH,0,,,No company token in domain: tokens ['advances'] not found in 'jslapl',2026-02-15T02:18:17.435408
