row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
1001,Balgopal Adcon Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T00:03:52.162790
1002,Balgopal Holding & Traders Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T00:03:59.288787
1003,Baliraja Distributors Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T00:04:07.859216
1004,Balkash Exim (P) Ltd (Name as per MCA - LNJ Leasing and Finance Private Limited),,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T00:04:15.127225
1005,Balkrishna Finance Pvt. Ltd.,,,,N/A,http://ww16.balkrishna.com/?sub1=20260215-0534-262e-899a-98bc635795ab,direct_domain,FALSE_MATCH,0,,,HTTP 432,2026-02-15T00:04:22.098994
1006,Balraj Hire Purchase Pvt Ltd,,,,N/A,http://www.balrajhire.com/Home/service,serper,OFFICIAL_WEBSITE_FOUND,97,"Company name on page (100% match) | Regulatory text: 'reserve bank of india' | Corporate email @balrajhire.com | Partial ownership signals: ['about us', 'apply now'] | Industry keyword: 'reserve bank' | Company name in title (100%)",http://www.balrajhire.com/Home/service,,2026-02-15T00:04:27.754778
1007,Balsam Commercial  Pvt.  Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T00:04:33.139572
1008,Bamalwa Finance Pvt. Ltd.,,,,N/A,https://www.bamalwa.com/,direct_domain,FALSE_MATCH,27,Partial ownership signals: ['contact us'] | Industry keyword: 'emi' | LinkedIn company page linked,,Insufficient evidence (score 27/100),2026-02-15T00:04:40.695590
1009,Bambino Dealcom Private  Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T00:04:43.142492
1010,"Bampsl Securities Limited,",,,,N/A,http://www.bampslsecurities.co.in/,serper,REVIEW_REQUIRED,57,"Company name on page (100% match) | Partial ownership signals: ['about us', 'contact us'] | Industry keyword: 'invest' | Company name in title (100%)",,,2026-02-15T00:04:53.610067
1011,Banani Trading (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T00:05:10.216207
1012,Banas Finance Ltd,,,,N/A,https://www.banas.co.in/,direct_domain,REVIEW_REQUIRED,47,"Company name on page (100% match) | Partial ownership signals: ['contact us', 'privacy policy'] | Industry keyword: 'emi'",,,2026-02-15T00:05:16.800433
1013,Bandana Sangeet  Paper  Pvt.  Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T00:05:21.055743
