row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
3001,Grownet Finance Private Limited,,,,N/A,https://www.grownet.com/,direct_domain,FALSE_MATCH,0,,,HTTP 408,2026-02-15T02:14:35.035957
3002,Growth Well Finlease Pvt. Ltd.,,,,N/A,https://growth-well-finlease-private-limited.charteredone.com/U65921DL1996PTC075842,serper,OFFICIAL_WEBSITE_FOUND,77,"Company name on page (100% match) | Registered office address found | Partial ownership signals: ['registered office', 'login'] | Industry keyword: 'rbi' | Company name in title (77%)",https://growth-well-finlease-private-limited.charteredone.com/U65921DL1996PTC075842,,2026-02-15T02:15:03.967233
3003,Groww Creditserv Technology Private Limited,,,,N/A,https://www.growwcreditserv.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T02:15:36.000191
3004,Growxcd Finance Private Limited,,,,N/A,https://growxcd.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Registered office address found | Corporate email @growxcd.com | Ownership signals: ['about us', 'contact us', 'board of directors'] | Industry keyword: 'nbfc' | LinkedIn company page linked",https://growxcd.com/,,2026-02-15T02:15:44.317520
3005,Gsb Finance Ltd.,,,,N/A,https://www.gsb.co.in/,direct_domain,FALSE_MATCH,30,Company name on page (100% match),,Insufficient evidence (score 30/100),2026-02-15T02:16:17.471598
3006,GSD Trading And Financial Services Pvt. Ltd,,,,N/A,https://www.gsdtrading.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T02:17:14.019678
3007,GSL Securities Limited,,,,N/A,https://www.gslsecurities.com/,direct_domain,REVIEW_REQUIRED,57,Company name on page (100% match) | Partial ownership signals: ['login'] | Industry keyword: 'nbfc' | Company name in title (72%),,,2026-02-15T02:17:16.942476
3008,GSR Tradefin Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:17:18.446261
3009,Gtj Capital Services Private Limited,,,,N/A,https://gtj.in/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T02:17:26.724729
3010,Gtlaxmi Finace Private Limited,,,,N/A,https://www.gtlaxmifinance.com/about.php,serper,REVIEW_REQUIRED,65,"Regulatory text: 'reserve bank of india' | Corporate email @gtlaxmifinance.com | Ownership signals: ['about us', 'management team', 'board of directors'] | Industry keyword: 'nbfc'",,,2026-02-15T02:17:41.207729
3011,Guardian Finance Private Limited,,,,N/A,https://www.guardian.com/us/en,direct_domain,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['about us', 'our team', 'privacy policy'] | LinkedIn company page linked | Company name in title (59%)",,,2026-02-15T02:17:52.472235
3012,Guardian Securities Pvt Ltd,,,,N/A,https://www.guardiansecurities.com/,direct_domain,FALSE_MATCH,30,Company name on page (100% match),,Insufficient evidence (score 30/100),2026-02-15T02:17:55.323485
3013,Guchi Investments Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:17:58.454050
3014,Guidance Commercial Pvt. Ltd.,,,,N/A,https://www.guidancebrokers.com/,serper,FALSE_MATCH,0,,,HTTP 403,2026-02-15T02:18:04.900492
3015,Guideline Capital Private Limited,,,,N/A,https://www.guideline.ai/blog/guideline-announces-new-innovation-in-its-data-product-for-capital-markets,serper,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'investment' | LinkedIn company page linked",,,2026-02-15T02:18:13.383493
3016,Guiness Finance & Leasing Private Limited (Formerlyk. Commercial Company Pvt.Ltd.),,,,N/A,https://www.guiness.in/,direct_domain,FALSE_MATCH,20,Registered office address found,,Insufficient evidence (score 20/100),2026-02-15T02:18:36.231934
