row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
2001,Denali Finance Private Limited,,,,N/A,https://www.denali.gov/wp-content/uploads/2019/06/Denali-IG-Report-May-2009.pdf,serper,FALSE_MATCH,0,,,PDF file URL,2026-02-15T01:51:10.099999
2002,Denim Commerce Pvt.  Ltd.,,,,N/A,https://www.denimcommerce.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T01:51:51.677982
2003,Deoralia Finance Company Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:52:10.515549
2004,Desai Investments Pvt Ltd,,,,N/A,https://desaiinvestment.in/Home/Blogdetailsanc/134/covered-bonds,serper,FALSE_MATCH,0,,,HTTP 408,2026-02-15T01:52:19.213123
2005,Desana Impex Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:53:36.162599
2006,Desert River Capital Private Limited,,,,N/A,https://desertriver.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Corporate email @desertriver.com | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'emi' | Company name in title (62%)",https://desertriver.com/,,2026-02-15T01:53:44.034944
2007,Deshana Finlease Servces Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:53:48.500283
2008,Deshapriya Estates Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:53:57.536061
2009,Desons Finvest Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:54:04.943824
2010,Desons Holdings & Finance Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:54:14.145953
2011,Destiny Finco (P) Ltd,,,,N/A,https://destinyfinco.com/wp-content/uploads/2024/09/FAIR-PRACTICE-CODE-compressed.pdf,serper,FALSE_MATCH,0,,,PDF file URL,2026-02-15T01:54:21.689456
2012,Destiny International Ltd,,,,N/A,https://www.destinyinternational.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T01:54:54.514706
2013,Deutsche India Holdings Pvt. Ltd.,,,,N/A,https://www.deutscheholdings.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T01:55:13.916556
2014,Deutsche Investments India Pvt. Ltd.,,,,N/A,https://www.deutscheinvestments.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T01:55:38.279830
2015,Deva Lease & Finance (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:55:39.304495
2016,Dev-Aashish Capital (P) Ltd,,,,N/A,https://www.devaashish.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Regulatory text: 'reserve bank of india' | Corporate email @devaashish.com | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'nbfc' | Company name in title (95%)",https://www.devaashish.com/,,2026-02-15T01:55:47.122756
2017,Devakar Investment & Trading Co.(P) Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:56:07.052496
2018,Devanayagam Finance Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:56:14.336850
2019,Devanshi Consultants Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:56:21.905196
2020,Devasan Investments Private Limited,,,,N/A,https://www.devasaninvestments.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T01:56:30.260710
