row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
5501,Orchid Credits Private Limited,,,,N/A,https://www.orchidcredits.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,100,Company name on page (100% match) | Registered office address found | Regulatory text: 'reserve bank of india' | Corporate email @orchidcredits.com | Industry keyword: 'nbfc' | Company name in title (100%),https://www.orchidcredits.com/,,2026-02-15T04:02:38.906758
5502,Orchid Finlease Private Ltd.,,,,N/A,https://www.orchidfinlease.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T04:02:40.787562
5503,Orchid Securities (P) Ltd.,,,,N/A,https://www.orchidsecuritiesltd.com/,serper,OFFICIAL_WEBSITE_FOUND,75,"Company name on page (100% match) | Registered office address found | Ownership signals: ['about us', 'contact us', 'board of directors'] | Industry keyword: 'nbfc'",https://www.orchidsecuritiesltd.com/,,2026-02-15T04:02:42.475591
5504,Orchid Vanijya (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:03:09.552047
5505,Orde Management (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:03:16.855731
5506,Oricred Finserv Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:03:54.121605
5507,Orient Bonds And Stock Limited,,,,N/A,https://anandrathi.com/stocks/orient-tradelink/share-price/131512,serper,FALSE_MATCH,0,,,"No company token in domain: tokens ['orient', 'stock', 'bonds'] not found in 'anandrathi'",2026-02-15T04:04:25.282185
5508,Orient Vinimay Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:04:32.495393
5509,Oriental Finlease Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:04:40.576243
5510,Oriental Finstock Services  Pvt.Ltd,,,,N/A,https://www.orientalfinstock.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,82,"Company name on page (100% match) | Regulatory text: 'reserve bank of india' | Partial ownership signals: ['about us', 'grievance'] | Industry keyword: 'nbfc' | Company name in title (93%)",https://www.orientalfinstock.com/,,2026-02-15T04:04:48.389222
5511,Original Finserv Private Limited,,,,N/A,https://original.com/,direct_domain,REVIEW_REQUIRED,57,Company name on page (100% match) | Partial ownership signals: ['login'] | Industry keyword: 'rbi' | Company name in title (64%),,,2026-02-15T04:04:49.728516
5512,Origo Finance Private Limited,,,,N/A,https://origo.com/,direct_domain,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'terms and conditions'] | Industry keyword: 'financial services' | LinkedIn company page linked",,,2026-02-15T04:04:55.114169
5513,Orion Finvest Ltd.,,,,N/A,https://www.orionfinvest.com/,direct_domain,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'loan' | Company name in title (100%)",,,2026-02-15T04:04:59.192902
5514,Orissa Re-Rollers (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:05:00.681507
5515,Orix Leasing & Financial Services India Limited (Formerly Oais Auto Financial Services Limited,,,,N/A,https://www.orixindia.com/,serper,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (75% match) | Corporate email @orixindia.com | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'nbfc' | LinkedIn company page linked",https://www.orixindia.com/,,2026-02-15T04:05:08.582383
5516,Ornate Tradcom(P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:05:45.880617
5517,Orrish Finance Private Limited,,,,N/A,https://www.orrish.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Corporate email @orrish.com | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'rbi' | Company name in title (50%)",https://www.orrish.com/,,2026-02-15T04:05:52.897090
5518,Orthodox Distributors Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:05:55.094286
5519,Oscar Sealing System (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:06:01.689276
5520,Osprey Finvest  Pvt Ltd,,,,N/A,http://www.osprey-finvest-pl.cc/,serper,REVIEW_REQUIRED,62,"Company name on page (100% match) | Corporate email @osprey-finvest-pl.cc | Partial ownership signals: ['contact us', 'privacy policy'] | Industry keyword: 'rbi'",,,2026-02-15T04:06:09.351856
5521,Ostwal Investments & Credit Ltd,,,,N/A,https://www.ostwal.in/,serper,FALSE_MATCH,0,,,HTTP 503,2026-02-15T04:06:17.542803
5522,Oswal Finlease (P) Ltd.,,,,N/A,https://oswalfinlease.com/,direct_domain,REVIEW_REQUIRED,57,Company name on page (100% match) | Partial ownership signals: ['contact us'] | Industry keyword: 'emi' | Company name in title (93%),,,2026-02-15T04:06:29.381133
5523,Oswal Leasing Limited,,,,N/A,https://www.oswal.in/,direct_domain,FALSE_MATCH,30,Company name on page (100% match),,Insufficient evidence (score 30/100),2026-02-15T04:06:30.779149
5524,Oswal Services Pvt Ltd,,,,N/A,https://www.oswal.in/,direct_domain,FALSE_MATCH,30,Company name on page (100% match),,Insufficient evidence (score 30/100),2026-02-15T04:06:46.297056
5525,Oswal Tradelinks (P) Ltd,,,,N/A,https://www.motilaloswal.com/share-market/capital-trade-links-ltd,serper,FALSE_MATCH,37,"Registered office address found | Partial ownership signals: ['registered office', 'careers'] | Industry keyword: 'nbfc'",,Insufficient evidence (score 37/100),2026-02-15T04:06:47.802867
5526,Outright Finance Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:06:54.720437
5527,Outside Capital Private Limited,,,,N/A,https://www.outside.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T04:07:49.742955
5528,Oval Investment Pvt Ltd,,,,N/A,https://www.oval.co.in/,direct_domain,REVIEW_REQUIRED,40,Company name on page (100% match) | Industry keyword: 'investment',,,2026-02-15T04:07:55.373102
5529,Oven Commercials (P) Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:08:09.533516
5530,Ovido Consultants Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T04:08:14.880722
5531,Ovington Finance Private Limited,,,,N/A,https://ovington.com/,direct_domain,REVIEW_REQUIRED,57,"Company name on page (100% match) | Partial ownership signals: ['about us', 'contact us'] | Industry keyword: 'credit' | Company name in title (52%)",,,2026-02-15T04:08:21.191575
