row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
2501,Finagle Financial Services Private Limited,,,,N/A,https://www.finagle.co.in/,direct_domain,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Registered office address found | Regulatory text: 'rbi registered' | Corporate email @finagle.co.in | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'nbfc' | Company name in title (64%)",https://www.finagle.co.in/,,2026-02-15T01:52:55.910040
2502,Finaleap Finserv Pvt Ltd,,,,N/A,https://www.finaleap.in/,direct_domain,REVIEW_REQUIRED,40,Company name on page (100% match) | Company name in title (67%),,,2026-02-15T01:53:03.741209
2503,Finance House (India) Pvt Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:53:23.054990
2504,Financial World (India)Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:53:59.871326
2505,Fincap Financial Corporation Limited,,,,N/A,https://www.fincaporg.com/,serper,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Corporate email @fincaporg.com | Ownership signals: ['about us', 'contact us', 'login'] | Industry keyword: 'rbi' | Company name in title (76%)",https://www.fincaporg.com/,,2026-02-15T01:54:43.338024
2506,Fincare Business Services Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:54:51.500641
2507,Fincare Finance Private Limited,,,,N/A,https://www.fincare.in/,direct_domain,REVIEW_REQUIRED,40,Company name on page (100% match) | Industry keyword: 'finance',,,2026-02-15T01:54:58.928392
2508,"Fincfriends Private Limited (Reissued On December 24, 2018)",,,,N/A,https://www.fincfriends.com/,direct_domain,REVIEW_REQUIRED,50,"Regulatory text: 'reserve bank of india' | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'nbfc'",,,2026-02-15T01:55:15.473210
2509,Fincred Investments Limited,,,,N/A,https://www.fincred.co.in/,serper,OFFICIAL_WEBSITE_FOUND,100,"Company name on page (100% match) | Registered office address found | Regulatory text: 'registered with rbi' | Ownership signals: ['about us', 'contact us', 'head office'] | Industry keyword: 'rbi' | Company name in title (100%)",https://www.fincred.co.in/,,2026-02-15T01:55:19.364613
2510,Fincsquare Fintech Private Limited,,,,N/A,https://www.fincsquare.com/,serper,OFFICIAL_WEBSITE_FOUND,72,"Company name on page (100% match) | Regulatory text: 'reserve bank of india' | Partial ownership signals: ['privacy policy', 'careers'] | Industry keyword: 'nbfc'",https://www.fincsquare.com/,,2026-02-15T01:55:40.365828
2511,Findoc Finvest (P) Ltd (Formerly known as Aujla Finvest Pvt Ltd and Name Changed On 8.02.2016),,,,N/A,https://findocfinvest.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Registered office address found | Regulatory text: 'rbi approved' | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'nbfc' | LinkedIn company page linked",https://findocfinvest.com/,,2026-02-15T01:55:51.699646
2512,Fine Apartments Pvt. Ltd.,,,,N/A,https://fineapartments.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T01:55:56.512882
2513,Fine Motors Finvest Prinate Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:56:18.133548
2514,Finergy Finance Private Limited,,,,N/A,https://www.finergy.com/,direct_domain,REVIEW_REQUIRED,40,Company name on page (100% match) | Industry keyword: 'investment',,,2026-02-15T01:56:48.641195
2515,Finergy Transport Finance Limited (Formerly known as Trancity Finance Limited),,,,N/A,https://www.finergytransportfinancelimited.com/,serper,FALSE_MATCH,10,Industry keyword: 'finance',,Insufficient evidence (score 10/100),2026-02-15T01:56:51.210422
2516,Finethical Trading Private Limited,,,,N/A,https://finethical-trading-private-limited.charteredone.com/U51109WB1995PTC074092,serper,OFFICIAL_WEBSITE_FOUND,77,"Company name on page (100% match) | Registered office address found | Partial ownership signals: ['registered office', 'login'] | Industry keyword: 'rbi' | Company name in title (69%)",https://finethical-trading-private-limited.charteredone.com/U51109WB1995PTC074092,,2026-02-15T01:56:56.164634
2517,Fingrow Capital Private Limited,,,,N/A,https://www.fingrow.com/,direct_domain,REVIEW_REQUIRED,65,Company name on page (100% match) | Corporate email @fingrow.com | Industry keyword: 'emi' | Company name in title (64%),,,2026-02-15T01:57:02.078225
2518,Fingrow Investment Ventures Private Limited,,,,N/A,https://fingrowcapital.com/about.php,serper,REVIEW_REQUIRED,67,Regulatory text: 'non-banking financial company' | Corporate email @fingrowcapital.com | Partial ownership signals: ['about us'] | Industry keyword: 'nbfc' | LinkedIn company page linked,,,2026-02-15T01:57:10.638562
2519,Finindia Credit And Finance Limited (Formerly Deepraj Investments Limited),,,,N/A,https://finindia.co.in/,serper,OFFICIAL_WEBSITE_FOUND,85,"Registered office address found | Regulatory text: 'reserve bank of india' | Corporate email @finindia.co.in | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'nbfc'",https://finindia.co.in/,,2026-02-15T01:57:19.556267
2520,Finkurve Financial Services Limited (Old Name- Sanjay Leasing Limited),,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:57:30.572046
2521,Finlay Finance (India) Private Limited,,,,N/A,https://finlay.in/,direct_domain,FALSE_MATCH,0,,,HTTP 408,2026-02-15T01:58:10.163971
2522,Finmac Investments Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:59:32.797939
2523,Finmax Credit & Finance Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T01:59:41.859118
2524,Finmen Advisors Private Limited,,,,N/A,https://finmenadvisors.com/,direct_domain,REVIEW_REQUIRED,57,Company name on page (100% match) | Partial ownership signals: ['contact us'] | Industry keyword: 'emi' | Company name in title (85%),,,2026-02-15T02:00:14.301748
2525,Finnable Credit Private Limited,,,,N/A,https://www.finnable.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Corporate email @finnable.com. | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'nbfc' | LinkedIn company page linked",https://www.finnable.com/,,2026-02-15T02:00:50.522743
2526,Finodaya Capital Private Limited,,,,N/A,https://finodayacapital.com/about-us/,serper,FALSE_MATCH,0,,,HTTP 408,2026-02-15T02:00:52.229928
2527,Finotex Vinimoy (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:01:43.428826
2528,Finova Capital Private Limited,,,,N/A,https://www.finova.com/,direct_domain,FALSE_MATCH,0,,,HTTP 408,2026-02-15T02:01:51.145825
2529,Finquest Financial Solutions Pvt. Ltd.,,,,N/A,https://finquestbs.com/,direct_domain,REVIEW_REQUIRED,42,Corporate email @finquestbs.com | Partial ownership signals: ['contact us'] | Industry keyword: 'emi' | LinkedIn company page linked,,,2026-02-15T02:02:17.829560
2530,Finsec Aa Solutions Pvt Ltd (NBFC-AA),,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:02:51.576835
2531,Finstars Capital Limted,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:03:03.010849
2532,Fintelligence Data Science Private Limited (Nbfc - P2P),,,,N/A,https://www.marketsandata.com/industry-reports/india-peer-to-peer-lending-market,serper,FALSE_MATCH,0,,,HTTP 503,2026-02-15T02:03:10.647068
2533,Fintree Finance Private Limited,,,,N/A,https://www.fintree.co.in/,direct_domain,FALSE_MATCH,30,Company name on page (100% match),,Insufficient evidence (score 30/100),2026-02-15T02:04:03.733687
2534,Finvasia Financial Services Pvt Ltd,,,,N/A,https://finvasia.com,direct_domain,REVIEW_REQUIRED,50,Company name on page (100% match) | Industry keyword: 'financial services' | LinkedIn company page linked,,,2026-02-15T02:04:19.395853
2535,Finvent Finance And Investments Limited,,,,N/A,http://finventfinance.com/message.php,serper,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Corporate email @finventfinance.com | Ownership signals: ['about us', 'contact us', 'board of directors'] | Industry keyword: 'nbfc' | Company name in title (62%)",http://finventfinance.com/message.php,,2026-02-15T02:04:26.349980
2536,"Finvesco Capital India Private Limited (Buragadda Finance &Investments P.L., Buragadda Investments &Chits(P)L.)",,,,N/A,https://finvesco.com/contact/,serper,OFFICIAL_WEBSITE_FOUND,77,"Registered office address found | Regulatory text: 'reserve bank of india' | Corporate email @finvescoholdings.com | Partial ownership signals: ['contact us', 'privacy policy'] | Industry keyword: 'nbfc'",https://finvescoholdings.com/,,2026-02-15T02:04:32.320892
2537,Finwizz Retail Finance Private Limited,,,,N/A,https://www.finwizzretail.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T02:04:43.471073
2538,FinZ Finance Private Limited,,,,N/A,https://www.finz.in/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T02:04:47.865825
2539,First Advantage Finance And Investments Private Limited (Formerly Kamla Sugar Mills Private Limited),,,,N/A,https://www.firstadvantage.co.in/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T02:05:29.740147
2540,First Fiscal Services (P) Ltd.,,,,N/A,https://firstfiscal.in/,direct_domain,REVIEW_REQUIRED,40,Company name on page (100% match) | Company name in title (69%),,,2026-02-15T02:05:48.321370
2541,First Rate Investments Private Limited,,,,N/A,https://firstrate.com/,direct_domain,FALSE_MATCH,0,,,HTTP 408,2026-02-15T02:06:02.152576
2542,Firstsource Credits Private Limited,,,,N/A,https://firstsourcecredits.com/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Corporate email @firstsourcecredits.com | Ownership signals: ['about us', 'contact us', 'grievance'] | Industry keyword: 'nbfc' | Company name in title (86%)",https://firstsourcecredits.com/,,2026-02-15T02:06:44.546987
2543,Fitworth Distributors (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:06:52.021277
2544,Five Star Business Finance Limited,,,,N/A,https://fivestar.in/,direct_domain,FALSE_MATCH,30,Company name on page (67% match),,Insufficient evidence (score 30/100),2026-02-15T02:07:00.350270
2545,Fixo Deal Finance Pvt Ltd,,,,N/A,https://fixofin.com/,serper,FALSE_MATCH,10,Industry keyword: 'loan',,Insufficient evidence (score 10/100),2026-02-15T02:08:08.779056
2546,Flaber Commercial Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:08:31.206341
2547,"Flamboyawer Finance Pvt. Ltd,",,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:08:38.434409
2548,Flamingo Finance & Investment Co. Ltd,,,,N/A,https://www.flamingo.in/,direct_domain,REVIEW_REQUIRED,52,"Company name on page (100% match) | Corporate email @flamingo.in | Partial ownership signals: ['about us', 'login']",,,2026-02-15T02:08:47.017787
2549,Flat White Capital Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:08:55.667930
2550,Flawless Holdings & Industries Pvt Ltd,,,,N/A,https://flawlessholdings.com/,direct_domain,REVIEW_REQUIRED,47,"Company name on page (76% match) | Partial ownership signals: ['privacy policy', 'terms of service'] | Company name in title (76%)",,,2026-02-15T02:09:33.555604
2551,Fleeting Vyapaar  Pvt. Ltd.,,,,N/A,https://www.vaibhav-vyapaar.com/,serper,OFFICIAL_WEBSITE_FOUND,80,"Registered office address found | Regulatory text: 'registered with rbi' | Ownership signals: ['about us', 'contact us', 'our team'] | Industry keyword: 'nbfc' | Company name in title (51%)",https://www.vaibhav-vyapaar.com/,,2026-02-15T02:09:42.188908
2552,Flex Trade Pvt Ltd,,,,N/A,https://flextrade.com/,direct_domain,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'emi' | LinkedIn company page linked",,,2026-02-15T02:09:49.462781
2553,Flex Vanijya Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:09:55.041143
2554,Flexir Impex  Pvt. Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:10:03.199265
2555,Flexo Contra Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:10:11.174729
2556,Flicker Trading Ltd,,,,N/A,https://flickertrading.com/,direct_domain,REVIEW_REQUIRED,40,Company name on page (100% match) | Industry keyword: 'investment',,,2026-02-15T02:10:19.394568
2557,Flipkart Finance Private Limited,,,,N/A,https://www.flipkart.com/,direct_domain,REVIEW_REQUIRED,47,Company name on page (100% match) | Partial ownership signals: ['login'] | Industry keyword: 'credit',,,2026-02-15T02:10:26.231351
2558,Flipstar Finance Limited,,,,N/A,https://www.flipstar.in/,direct_domain,OFFICIAL_WEBSITE_FOUND,80,"Company name on page (100% match) | Regulatory text: 'non-banking financial company' | Ownership signals: ['about us', 'contact us', 'careers'] | Industry keyword: 'nbfc'",https://www.flipstar.in/,,2026-02-15T02:10:27.758743
2559,Flora Broking & Agency (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T02:11:12.801034
2560,Floral Vyapaar (P) Ltd,,,,N/A,https://www.floralvyapaar.com/,direct_domain,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'rbi' | Company name in title (94%)",,,2026-02-15T02:11:21.845428
2561,Florence Dealers Pvt Ltd,,,,N/A,https://www.florencemailboxes.com/dealers/,serper,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'invest' | LinkedIn company page linked",,,2026-02-15T02:11:26.566551
2562,Flower Trading & Investment Co Ltd,,,,N/A,https://www.flowertrading.com/,direct_domain,FALSE_MATCH,37,"Company name on page (100% match) | Partial ownership signals: ['about us', 'login']",,Insufficient evidence (score 37/100),2026-02-15T02:12:44.993810
