row_number,company_name,cin,category,state,aum_cr,raw_url,search_source,outcome,score,evidence,validated_url,reject_reason,timestamp
8501,Unacco Financial Services Private Limited,,,,N/A,https://www.unacco.in/,direct_domain,REVIEW_REQUIRED,55,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'management team'] | Industry keyword: 'lender'",,,2026-02-15T09:51:20.723129
8502,Unacores AA Solutions Private Limited,,,,N/A,https://www.unacores.com/,serper,REVIEW_REQUIRED,62,"Company name on page (100% match) | Corporate email @unacores.com | Partial ownership signals: ['about us', 'careers'] | Industry keyword: 'lender'",,,2026-02-15T09:51:23.337464
8503,Unayan Trade And Commerce Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:51:45.886762
8504,Uni P2P Platform Private Limited (Formerly known as Ohmy Technologies Private Limited),,,,N/A,https://www.unip2p.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T09:51:55.474162
8505,Unicap Investments Private Limited,,,,N/A,https://www.unicapinvestments.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T09:51:57.699611
8506,Unicom Finance P Ltd.,,,,N/A,https://www.unicom.in/,direct_domain,FALSE_MATCH,30,Company name on page (100% match),,Insufficient evidence (score 30/100),2026-02-15T09:52:20.568197
8507,Uni-Com Fincorp Private Limited,,,,N/A,https://www.unicomfincorp.com/,direct_domain,FALSE_MATCH,30,Company name on page (100% match),,Insufficient evidence (score 30/100),2026-02-15T09:52:30.087722
8508,Unicon Fincap Pvt.Ltd.,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:52:31.432280
8509,Unicon Suppliers Private Limited,,,,N/A,https://www.unicon.dk/media/2172/pricelist_2025_unicon_july-web-lr.pdf,serper,FALSE_MATCH,0,,,PDF file URL,2026-02-15T09:52:38.969634
8510,Unicon Vanijya Private Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:52:43.279511
8511,Unicon Vyapaar Pvt Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:52:51.299540
8512,Unidor Fincorp Limited,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:52:58.014147
8513,Unifi Financial Private Limited,,,,N/A,https://unifi.com/,direct_domain,REVIEW_REQUIRED,65,"Company name on page (100% match) | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'investment' | LinkedIn company page linked",,,2026-02-15T09:53:06.521048
8514,Unifinz Capital India Ltd (Formerly Shree Worstex Ltd.),,,,N/A,https://unifinz.com/,direct_domain,REVIEW_REQUIRED,60,"Registered office address found | Corporate email @unifinz.com | Ownership signals: ['about us', 'contact us', 'privacy policy'] | Industry keyword: 'rbi'",,,2026-02-15T09:53:10.861343
8515,Unigold Finance Limited (Formerly known as Vijayasubham Finance Limited),,,,N/A,https://www.unigold.in/,direct_domain,FALSE_MATCH,17,"Partial ownership signals: ['contact us', 'our team'] | Industry keyword: 'rbi'",,Insufficient evidence (score 17/100),2026-02-15T09:53:13.119370
8516,Unik Merchants (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:53:17.018594
8517,Unimoni Financial Services Limited,,,,N/A,https://www.unimoni.com/,direct_domain,REVIEW_REQUIRED,47,Company name on page (100% match) | Partial ownership signals: ['contact us'] | Industry keyword: 'financial services',,,2026-02-15T09:53:23.079768
8518,Unipon Merchants (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:53:25.509005
8519,Unique Auto Finance And Leasing Private Limited,,,,N/A,https://www.uniqueauto.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T09:53:31.529801
8520,Unique Finance & Securities Private Limited,,,,N/A,https://www.uniquesecurities.com/,direct_domain,FALSE_MATCH,0,,,Insufficient evidence (score 0/100),2026-02-15T09:53:33.304419
8521,Unique Forms (P) Ltd,,,,N/A,,,URL_NOT_FOUND,0,,,,2026-02-15T09:53:34.889587
